,,,,,,,,,,,,,,,
PROCESSO Nº,,,,,ASSUNTO,,,,,,,,,,
,,,,,,,,,,,,,,,
REQUISITANTE,,,,,,DA ELABORAÇÃO DO MAPA,,,,,,,,,
ÓRGÃO,,,,,,RESPONSÁVEIS PELO ORÇAMENTO,,,,,,,,,
SETOR,,,,,,ANALISTAS RESPONSÁVEIS,,,,,,,,,
TELEFONE,,,,,,DATA DA LICITAÇÃO,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,QUANT.,UNID.,"CÓDIGO
(CATMAT/
CATSER)","DESCRIÇÃO SUMÁRIA DO
PRODUTO/SERVIÇO","ORÇAMENTO EMPRESA E0001
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0002
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0003
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0004
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0005
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0006
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0007
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0008
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0009
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0010
PREÇO UNITÁRIO (R$)","ORÇAMENTO DA LICITAÇÃO
PREÇO UNITÁRIO (R$)"
2316,100,Caixas,,,R$24.00 ,R$25.00 ,R$9.00 ,R$31.00 ,R$15.00 ,R$39.00 ,R$2.00 ,R$10.00 ,R$40.00 ,R$26.00 ,R$26.00 
2317,200,Packs,,,R$25.00 ,R$6.00 ,R$22.00 ,R$12.00 ,R$37.00 ,R$25.00 ,R$14.00 ,R$2.00 ,R$27.00 ,R$38.00 ,R$23.00 
2318,250,Litros,,,R$6.00 ,R$34.00 ,R$35.00 ,R$12.00 ,R$34.00 ,R$24.00 ,R$21.00 ,R$1.00 ,R$34.00 ,R$31.00 ,R$19.00 
2319,150,Packs,,,R$32.00 ,R$34.00 ,R$30.00 ,R$10.00 ,R$36.00 ,R$19.00 ,R$32.00 ,R$16.00 ,R$15.00 ,R$22.00 ,R$6.00 
2320,20,Pneus,,,R$29.00 ,R$11.00 ,R$4.00 ,R$15.00 ,R$11.00 ,R$26.00 ,R$27.00 ,R$13.00 ,R$37.00 ,R$31.00 ,R$32.00 
2321,100,Caixas,,,R$9.00 ,R$15.00 ,R$17.00 ,R$22.00 ,R$16.00 ,R$36.00 ,R$16.00 ,R$13.00 ,R$37.00 ,R$37.00 ,R$13.00 
2322,200,Packs,,,R$13.00 ,R$19.00 ,R$35.00 ,R$1.00 ,R$3.00 ,R$32.00 ,R$5.00 ,R$14.00 ,R$26.00 ,R$19.00 ,R$24.00 
2323,250,Litros,,,R$23.00 ,R$21.00 ,R$19.00 ,R$12.00 ,R$39.00 ,R$23.00 ,R$31.00 ,R$1.00 ,R$18.00 ,R$14.00 ,R$22.00 
2324,150,Packs,,,R$12.00 ,R$11.00 ,R$14.00 ,R$6.00 ,R$12.00 ,R$32.00 ,R$31.00 ,R$23.00 ,R$7.00 ,R$20.00 ,R$14.00 
2325,20,Pneus,,,R$25.00 ,R$17.00 ,R$20.00 ,R$36.00 ,R$23.00 ,R$15.00 ,R$29.00 ,R$30.00 ,R$20.00 ,R$24.00 ,R$40.00 
2326,100,Caixas,,,R$22.00 ,R$22.00 ,R$34.00 ,R$10.00 ,R$22.00 ,R$27.00 ,R$31.00 ,R$26.00 ,R$21.00 ,R$19.00 ,R$4.00 
2327,200,Packs,,,R$39.00 ,R$36.00 ,R$6.00 ,R$19.00 ,R$2.00 ,R$22.00 ,R$16.00 ,R$7.00 ,R$19.00 ,R$11.00 ,R$17.00 
2328,250,Litros,,,R$1.00 ,R$15.00 ,R$1.00 ,R$16.00 ,R$6.00 ,R$37.00 ,R$2.00 ,R$14.00 ,R$29.00 ,R$7.00 ,R$37.00 
2329,150,Packs,,,R$31.00 ,R$22.00 ,R$26.00 ,R$37.00 ,R$17.00 ,R$26.00 ,R$8.00 ,R$2.00 ,R$37.00 ,R$10.00 ,R$27.00 
2330,20,Pneus,,,R$24.00 ,R$12.00 ,R$11.00 ,R$31.00 ,R$1.00 ,R$8.00 ,R$1.00 ,R$34.00 ,R$16.00 ,R$14.00 ,R$36.00 
2331,100,Caixas,,,R$29.00 ,R$26.00 ,R$1.00 ,R$19.00 ,R$26.00 ,R$37.00 ,R$7.00 ,R$11.00 ,R$38.00 ,R$40.00 ,R$29.00 
2332,200,Packs,,,R$9.00 ,R$6.00 ,R$14.00 ,R$21.00 ,R$39.00 ,R$30.00 ,R$4.00 ,R$14.00 ,R$7.00 ,R$13.00 ,R$4.00 
2333,250,Litros,,,R$11.00 ,R$38.00 ,R$34.00 ,R$30.00 ,R$13.00 ,R$32.00 ,R$34.00 ,R$34.00 ,R$18.00 ,R$37.00 ,R$36.00 
2334,150,Packs,,,R$39.00 ,R$24.00 ,R$29.00 ,R$9.00 ,R$12.00 ,R$15.00 ,R$34.00 ,R$1.00 ,R$13.00 ,R$36.00 ,R$40.00 
2335,20,Pneus,,,R$9.00 ,R$9.00 ,R$11.00 ,R$19.00 ,R$31.00 ,R$8.00 ,R$25.00 ,R$10.00 ,R$29.00 ,R$13.00 ,R$23.00 
2336,20,Pneus,,,R$21.00 ,R$2.00 ,R$3.00 ,R$39.00 ,R$39.00 ,R$32.00 ,R$28.00 ,R$35.00 ,R$18.00 ,R$1.00 ,R$11.00 
2337,100,Caixas,,,R$32.00 ,R$30.00 ,R$40.00 ,R$7.00 ,R$16.00 ,R$20.00 ,R$15.00 ,R$27.00 ,R$27.00 ,R$33.00 ,R$7.00 
2338,200,Packs,,,R$8.00 ,R$19.00 ,R$40.00 ,R$11.00 ,R$36.00 ,R$20.00 ,R$35.00 ,R$30.00 ,R$31.00 ,R$34.00 ,R$24.00 
2339,250,Litros,,,R$28.00 ,R$15.00 ,R$17.00 ,R$9.00 ,R$10.00 ,R$34.00 ,R$20.00 ,R$1.00 ,R$11.00 ,R$24.00 ,R$4.00 
2340,150,Packs,,,R$8.00 ,R$21.00 ,R$1.00 ,R$34.00 ,R$11.00 ,R$40.00 ,R$16.00 ,R$33.00 ,R$6.00 ,R$25.00 ,R$33.00 
2341,20,Pneus,,,R$39.00 ,R$15.00 ,R$38.00 ,R$27.00 ,R$33.00 ,R$18.00 ,R$6.00 ,R$35.00 ,R$6.00 ,R$8.00 ,R$38.00 
2342,20,Pneus,,,R$33.00 ,R$19.00 ,R$16.00 ,R$39.00 ,R$34.00 ,R$34.00 ,R$39.00 ,R$38.00 ,R$5.00 ,R$7.00 ,R$6.00 
2343,100,Caixas,,,R$9.00 ,R$6.00 ,R$39.00 ,R$18.00 ,R$15.00 ,R$5.00 ,R$31.00 ,R$26.00 ,R$22.00 ,R$23.00 ,R$1.00 
2344,200,Packs,,,R$29.00 ,R$12.00 ,R$15.00 ,R$14.00 ,R$15.00 ,R$5.00 ,R$5.00 ,R$31.00 ,R$19.00 ,R$10.00 ,R$17.00 
2345,250,Litros,,,R$16.00 ,R$19.00 ,R$3.00 ,R$28.00 ,R$32.00 ,R$29.00 ,R$30.00 ,R$1.00 ,R$6.00 ,R$38.00 ,R$15.00 
2346,150,Packs,,,R$27.00 ,R$28.00 ,R$7.00 ,R$14.00 ,R$24.00 ,R$7.00 ,R$31.00 ,R$13.00 ,R$12.00 ,R$24.00 ,R$26.00 
2347,20,Pneus,,,R$37.00 ,R$36.00 ,R$26.00 ,R$23.00 ,R$36.00 ,R$10.00 ,R$30.00 ,R$34.00 ,R$21.00 ,R$16.00 ,R$34.00 
2348,20,Pneus,,,R$21.00 ,R$37.00 ,R$29.00 ,R$40.00 ,R$2.00 ,R$17.00 ,R$23.00 ,R$31.00 ,R$18.00 ,R$23.00 ,R$23.00 
2349,100,Caixas,,,R$11.00 ,R$29.00 ,R$38.00 ,R$5.00 ,R$11.00 ,R$39.00 ,R$26.00 ,R$15.00 ,R$16.00 ,R$14.00 ,R$18.00 
2350,200,Packs,,,R$33.00 ,R$28.00 ,R$16.00 ,R$23.00 ,R$39.00 ,R$12.00 ,R$1.00 ,R$32.00 ,R$7.00 ,R$10.00 ,R$10.00 
2351,250,Litros,,,R$12.00 ,R$32.00 ,R$11.00 ,R$30.00 ,R$15.00 ,R$3.00 ,R$22.00 ,R$11.00 ,R$26.00 ,R$25.00 ,R$13.00 
2352,150,Packs,,,R$27.00 ,R$2.00 ,R$29.00 ,R$10.00 ,R$6.00 ,R$38.00 ,R$16.00 ,R$25.00 ,R$25.00 ,R$26.00 ,R$10.00 
2353,20,Pneus,,,R$38.00 ,R$23.00 ,R$24.00 ,R$36.00 ,R$7.00 ,R$28.00 ,R$18.00 ,R$22.00 ,R$6.00 ,R$24.00 ,R$36.00 
2354,20,Pneus,,,R$2.00 ,R$26.00 ,R$31.00 ,R$40.00 ,R$36.00 ,R$13.00 ,R$35.00 ,R$6.00 ,R$19.00 ,R$32.00 ,R$28.00 
2355,100,Caixas,,,R$2.00 ,R$15.00 ,R$16.00 ,R$36.00 ,R$13.00 ,R$38.00 ,R$11.00 ,R$31.00 ,R$4.00 ,R$28.00 ,R$2.00 
2356,200,Packs,,,R$5.00 ,R$32.00 ,R$5.00 ,R$16.00 ,R$6.00 ,R$12.00 ,R$37.00 ,R$6.00 ,R$7.00 ,R$29.00 ,R$30.00 
2357,250,Litros,,,R$39.00 ,R$32.00 ,R$14.00 ,R$16.00 ,R$29.00 ,R$26.00 ,R$19.00 ,R$25.00 ,R$4.00 ,R$35.00 ,R$9.00 
2358,150,Packs,,,R$35.00 ,R$23.00 ,R$3.00 ,R$21.00 ,R$19.00 ,R$9.00 ,R$16.00 ,R$21.00 ,R$26.00 ,R$27.00 ,R$35.00 
2359,20,Pneus,,,R$21.00 ,R$31.00 ,R$39.00 ,R$11.00 ,R$23.00 ,R$37.00 ,R$21.00 ,R$36.00 ,R$28.00 ,R$27.00 ,R$25.00 
2360,20,Pneus,,,R$22.00 ,R$24.00 ,R$19.00 ,R$30.00 ,R$25.00 ,R$20.00 ,R$18.00 ,R$17.00 ,R$28.00 ,R$5.00 ,R$17.00 
2361,100,Caixas,,,R$39.00 ,R$34.00 ,R$22.00 ,R$6.00 ,R$40.00 ,R$9.00 ,R$5.00 ,R$11.00 ,R$19.00 ,R$28.00 ,R$9.00 
2362,200,Packs,,,R$16.00 ,R$21.00 ,R$38.00 ,R$25.00 ,R$24.00 ,R$15.00 ,R$27.00 ,R$27.00 ,R$18.00 ,R$15.00 ,R$36.00 
2363,250,Litros,,,R$18.00 ,R$12.00 ,R$30.00 ,R$27.00 ,R$12.00 ,R$40.00 ,R$14.00 ,R$21.00 ,R$38.00 ,R$11.00 ,R$19.00 
2364,150,Packs,,,R$17.00 ,R$12.00 ,R$32.00 ,R$5.00 ,R$17.00 ,R$9.00 ,R$10.00 ,R$30.00 ,R$11.00 ,R$38.00 ,R$32.00 
2365,20,Pneus,,,R$3.00 ,R$12.00 ,R$32.00 ,R$38.00 ,R$18.00 ,R$20.00 ,R$21.00 ,R$34.00 ,R$40.00 ,R$8.00 ,R$4.00 
2366,20,Pneus,,,R$3.00 ,R$14.00 ,R$29.00 ,R$3.00 ,R$25.00 ,R$1.00 ,R$20.00 ,R$40.00 ,R$10.00 ,R$36.00 ,R$12.00 
2367,100,Caixas,,,R$37.00 ,R$38.00 ,R$34.00 ,R$16.00 ,R$4.00 ,R$18.00 ,R$10.00 ,R$3.00 ,R$17.00 ,R$22.00 ,R$25.00 
2368,200,Packs,,,R$37.00 ,R$2.00 ,R$40.00 ,R$10.00 ,R$6.00 ,R$24.00 ,R$30.00 ,R$40.00 ,R$15.00 ,R$28.00 ,R$7.00 
2369,250,Litros,,,R$25.00 ,R$10.00 ,R$3.00 ,R$12.00 ,R$21.00 ,R$5.00 ,R$36.00 ,R$9.00 ,R$21.00 ,R$24.00 ,R$36.00 
2370,150,Packs,,,R$22.00 ,R$35.00 ,R$18.00 ,R$6.00 ,R$36.00 ,R$7.00 ,R$26.00 ,R$36.00 ,R$20.00 ,R$13.00 ,R$6.00 
2371,20,Pneus,,,R$39.00 ,R$36.00 ,R$7.00 ,R$38.00 ,R$19.00 ,R$7.00 ,R$15.00 ,R$36.00 ,R$31.00 ,R$26.00 ,R$27.00 
2372,20,Pneus,,,R$28.00 ,R$27.00 ,R$32.00 ,R$9.00 ,R$1.00 ,R$26.00 ,R$15.00 ,R$21.00 ,R$20.00 ,R$20.00 ,R$16.00 
2373,100,Caixas,,,R$20.00 ,R$13.00 ,R$13.00 ,R$1.00 ,R$36.00 ,R$8.00 ,R$26.00 ,R$7.00 ,R$35.00 ,R$22.00 ,R$6.00 
2374,200,Packs,,,R$37.00 ,R$5.00 ,R$17.00 ,R$1.00 ,R$26.00 ,R$26.00 ,R$22.00 ,R$8.00 ,R$20.00 ,R$26.00 ,R$5.00 
2375,100,Caixas,,,R$16.00 ,R$11.00 ,R$7.00 ,R$2.00 ,R$14.00 ,R$39.00 ,R$34.00 ,R$37.00 ,R$7.00 ,R$19.00 ,R$20.00 
2376,200,Packs,,,R$22.00 ,R$25.00 ,R$6.00 ,R$40.00 ,R$29.00 ,R$34.00 ,R$38.00 ,R$26.00 ,R$2.00 ,R$34.00 ,R$39.00 
2377,250,Litros,,,R$27.00 ,R$17.00 ,R$6.00 ,R$30.00 ,R$32.00 ,R$28.00 ,R$19.00 ,R$24.00 ,R$34.00 ,R$26.00 ,R$39.00 
2378,150,Packs,,,R$4.00 ,R$2.00 ,R$21.00 ,R$21.00 ,R$39.00 ,R$3.00 ,R$35.00 ,R$16.00 ,R$39.00 ,R$26.00 ,R$20.00 
2379,20,Pneus,,,R$20.00 ,R$8.00 ,R$33.00 ,R$5.00 ,R$21.00 ,R$16.00 ,R$27.00 ,R$13.00 ,R$24.00 ,R$30.00 ,R$6.00 
2380,100,Caixas,,,R$32.00 ,R$33.00 ,R$40.00 ,R$7.00 ,R$38.00 ,R$17.00 ,R$38.00 ,R$15.00 ,R$6.00 ,R$30.00 ,R$28.00 
2381,200,Packs,,,R$9.00 ,R$21.00 ,R$29.00 ,R$16.00 ,R$4.00 ,R$13.00 ,R$1.00 ,R$16.00 ,R$26.00 ,R$37.00 ,R$40.00 
2382,250,Litros,,,R$19.00 ,R$24.00 ,R$1.00 ,R$25.00 ,R$19.00 ,R$1.00 ,R$10.00 ,R$26.00 ,R$19.00 ,R$19.00 ,R$16.00 
2383,150,Packs,,,R$8.00 ,R$22.00 ,R$31.00 ,R$6.00 ,R$5.00 ,R$9.00 ,R$16.00 ,R$13.00 ,R$30.00 ,R$23.00 ,R$38.00 
2384,20,Pneus,,,R$28.00 ,R$2.00 ,R$1.00 ,R$4.00 ,R$17.00 ,R$18.00 ,R$13.00 ,R$4.00 ,R$32.00 ,R$23.00 ,R$29.00 
2385,100,Caixas,,,R$7.00 ,R$27.00 ,R$15.00 ,R$24.00 ,R$32.00 ,R$22.00 ,R$3.00 ,R$29.00 ,R$2.00 ,R$6.00 ,R$12.00 
2386,200,Packs,,,R$36.00 ,R$10.00 ,R$17.00 ,R$6.00 ,R$3.00 ,R$23.00 ,R$15.00 ,R$31.00 ,R$34.00 ,R$24.00 ,R$1.00 
2387,250,Litros,,,R$18.00 ,R$10.00 ,R$28.00 ,R$15.00 ,R$18.00 ,R$9.00 ,R$21.00 ,R$5.00 ,R$8.00 ,R$5.00 ,R$3.00 
2388,150,Packs,,,R$7.00 ,R$35.00 ,R$11.00 ,R$27.00 ,R$1.00 ,R$30.00 ,R$27.00 ,R$40.00 ,R$11.00 ,R$15.00 ,R$37.00 
2389,20,Pneus,,,R$4.00 ,R$25.00 ,R$37.00 ,R$22.00 ,R$22.00 ,R$21.00 ,R$39.00 ,R$21.00 ,R$33.00 ,R$35.00 ,R$16.00 
2390,100,Caixas,,,R$23.00 ,R$28.00 ,R$28.00 ,R$23.00 ,R$5.00 ,R$17.00 ,R$16.00 ,R$23.00 ,R$29.00 ,R$5.00 ,R$25.00 
2391,200,Packs,,,R$35.00 ,R$5.00 ,R$37.00 ,R$16.00 ,R$11.00 ,R$37.00 ,R$33.00 ,R$19.00 ,R$27.00 ,R$18.00 ,R$13.00 
2392,250,Litros,,,R$14.00 ,R$38.00 ,R$28.00 ,R$37.00 ,R$40.00 ,R$9.00 ,R$11.00 ,R$34.00 ,R$32.00 ,R$23.00 ,R$21.00 
2393,150,Packs,,,R$25.00 ,R$39.00 ,R$19.00 ,R$6.00 ,R$38.00 ,R$9.00 ,R$34.00 ,R$16.00 ,R$40.00 ,R$13.00 ,R$27.00 
2394,20,Pneus,,,R$24.00 ,R$31.00 ,R$18.00 ,R$18.00 ,R$15.00 ,R$12.00 ,R$25.00 ,R$27.00 ,R$14.00 ,R$26.00 ,R$37.00 
2395,100,Caixas,,,R$17.00 ,R$2.00 ,R$30.00 ,R$8.00 ,R$33.00 ,R$18.00 ,R$21.00 ,R$29.00 ,R$10.00 ,R$34.00 ,R$8.00 
2396,200,Packs,,,R$38.00 ,R$6.00 ,R$21.00 ,R$15.00 ,R$1.00 ,R$31.00 ,R$33.00 ,R$37.00 ,R$17.00 ,R$36.00 ,R$29.00 
2397,250,Litros,,,R$8.00 ,R$38.00 ,R$7.00 ,R$39.00 ,R$34.00 ,R$2.00 ,R$1.00 ,R$12.00 ,R$23.00 ,R$18.00 ,R$33.00 
2398,150,Packs,,,R$40.00 ,R$31.00 ,R$7.00 ,R$8.00 ,R$12.00 ,R$29.00 ,R$4.00 ,R$16.00 ,R$16.00 ,R$33.00 ,R$3.00 
2399,20,Pneus,,,R$34.00 ,R$39.00 ,R$10.00 ,R$18.00 ,R$33.00 ,R$12.00 ,R$32.00 ,R$9.00 ,R$2.00 ,R$6.00 ,R$30.00 
2400,100,Caixas,,,R$30.00 ,R$19.00 ,R$23.00 ,R$5.00 ,R$7.00 ,R$40.00 ,R$4.00 ,R$27.00 ,R$26.00 ,R$12.00 ,R$13.00 
2401,200,Packs,,,R$33.00 ,R$6.00 ,R$33.00 ,R$4.00 ,R$1.00 ,R$14.00 ,R$31.00 ,R$6.00 ,R$28.00 ,R$17.00 ,R$24.00 
2402,250,Litros,,,R$40.00 ,R$12.00 ,R$35.00 ,R$28.00 ,R$13.00 ,R$25.00 ,R$12.00 ,R$19.00 ,R$24.00 ,R$20.00 ,R$4.00 
2403,150,Packs,,,R$23.00 ,R$29.00 ,R$31.00 ,R$35.00 ,R$18.00 ,R$14.00 ,R$17.00 ,R$34.00 ,R$26.00 ,R$37.00 ,R$40.00 
2404,20,Pneus,,,R$37.00 ,R$18.00 ,R$16.00 ,R$14.00 ,R$27.00 ,R$36.00 ,R$4.00 ,R$31.00 ,R$12.00 ,R$27.00 ,R$27.00 
2405,100,Caixas,,,R$38.00 ,R$19.00 ,R$16.00 ,R$35.00 ,R$20.00 ,R$30.00 ,R$24.00 ,R$35.00 ,R$27.00 ,R$17.00 ,R$2.00 
2406,200,Packs,,,R$18.00 ,R$7.00 ,R$14.00 ,R$33.00 ,R$19.00 ,R$3.00 ,R$33.00 ,R$1.00 ,R$11.00 ,R$25.00 ,R$1.00 
2407,250,Litros,,,R$16.00 ,R$6.00 ,R$26.00 ,R$3.00 ,R$22.00 ,R$8.00 ,R$22.00 ,R$12.00 ,R$15.00 ,R$32.00 ,R$32.00 
2408,150,Packs,,,R$26.00 ,R$34.00 ,R$19.00 ,R$21.00 ,R$24.00 ,R$14.00 ,R$36.00 ,R$15.00 ,R$30.00 ,R$20.00 ,R$33.00 
2409,20,Pneus,,,R$15.00 ,R$4.00 ,R$11.00 ,R$22.00 ,R$20.00 ,R$27.00 ,R$2.00 ,R$18.00 ,R$31.00 ,R$20.00 ,R$22.00 
2410,20,Pneus,,,R$32.00 ,R$18.00 ,R$9.00 ,R$28.00 ,R$9.00 ,R$6.00 ,R$25.00 ,R$39.00 ,R$6.00 ,R$36.00 ,R$23.00 
2411,100,Caixas,,,R$14.00 ,R$5.00 ,R$8.00 ,R$25.00 ,R$20.00 ,R$7.00 ,R$7.00 ,R$30.00 ,R$9.00 ,R$20.00 ,R$3.00 
2412,200,Packs,,,R$22.00 ,R$6.00 ,R$34.00 ,R$34.00 ,R$10.00 ,R$34.00 ,R$2.00 ,R$35.00 ,R$18.00 ,R$28.00 ,R$30.00 
2413,250,Litros,,,R$15.00 ,R$23.00 ,R$14.00 ,R$39.00 ,R$7.00 ,R$35.00 ,R$8.00 ,R$26.00 ,R$4.00 ,R$34.00 ,R$29.00 
2414,150,Packs,,,R$3.00 ,R$28.00 ,R$17.00 ,R$31.00 ,R$16.00 ,R$10.00 ,R$10.00 ,R$7.00 ,R$12.00 ,R$33.00 ,R$20.00 
2415,20,Pneus,,,R$35.00 ,R$1.00 ,R$24.00 ,R$9.00 ,R$6.00 ,R$37.00 ,R$14.00 ,R$10.00 ,R$22.00 ,R$38.00 ,R$7.00 
2416,20,Pneus,,,R$6.00 ,R$29.00 ,R$27.00 ,R$39.00 ,R$38.00 ,R$15.00 ,R$18.00 ,R$36.00 ,R$29.00 ,R$39.00 ,R$20.00 
2417,100,Caixas,,,R$26.00 ,R$10.00 ,R$31.00 ,R$35.00 ,R$37.00 ,R$6.00 ,R$34.00 ,R$4.00 ,R$24.00 ,R$26.00 ,R$5.00 
2418,200,Packs,,,R$9.00 ,R$5.00 ,R$22.00 ,R$35.00 ,R$35.00 ,R$10.00 ,R$35.00 ,R$19.00 ,R$2.00 ,R$13.00 ,R$22.00 
2419,250,Litros,,,R$21.00 ,R$4.00 ,R$9.00 ,R$2.00 ,R$36.00 ,R$8.00 ,R$10.00 ,R$23.00 ,R$14.00 ,R$32.00 ,R$28.00 
2420,150,Packs,,,R$3.00 ,R$19.00 ,R$36.00 ,R$37.00 ,R$4.00 ,R$30.00 ,R$33.00 ,R$21.00 ,R$7.00 ,R$29.00 ,R$2.00 
2421,20,Pneus,,,R$25.00 ,R$39.00 ,R$20.00 ,R$18.00 ,R$39.00 ,R$6.00 ,R$31.00 ,R$33.00 ,R$10.00 ,R$21.00 ,R$38.00 
2422,20,Pneus,,,R$24.00 ,R$16.00 ,R$3.00 ,R$22.00 ,R$7.00 ,R$10.00 ,R$12.00 ,R$33.00 ,R$25.00 ,R$23.00 ,R$33.00 
2423,100,Caixas,,,R$14.00 ,R$20.00 ,R$7.00 ,R$28.00 ,R$30.00 ,R$3.00 ,R$7.00 ,R$4.00 ,R$19.00 ,R$19.00 ,R$6.00 
2424,200,Packs,,,R$7.00 ,R$5.00 ,R$19.00 ,R$10.00 ,R$38.00 ,R$10.00 ,R$29.00 ,R$6.00 ,R$4.00 ,R$15.00 ,R$39.00 
2425,250,Litros,,,R$7.00 ,R$3.00 ,R$17.00 ,R$36.00 ,R$39.00 ,R$31.00 ,R$12.00 ,R$28.00 ,R$6.00 ,R$21.00 ,R$29.00 
2426,150,Packs,,,R$27.00 ,R$26.00 ,R$8.00 ,R$19.00 ,R$9.00 ,R$15.00 ,R$17.00 ,R$27.00 ,R$39.00 ,R$26.00 ,R$38.00 
2427,20,Pneus,,,R$21.00 ,R$39.00 ,R$31.00 ,R$33.00 ,R$17.00 ,R$34.00 ,R$7.00 ,R$27.00 ,R$11.00 ,R$40.00 ,R$13.00 
2428,20,Pneus,,,R$16.00 ,R$5.00 ,R$22.00 ,R$40.00 ,R$28.00 ,R$25.00 ,R$24.00 ,R$10.00 ,R$10.00 ,R$13.00 ,R$37.00 
2429,100,Caixas,,,R$28.00 ,R$36.00 ,R$36.00 ,R$8.00 ,R$10.00 ,R$27.00 ,R$25.00 ,R$7.00 ,R$18.00 ,R$24.00 ,R$35.00 
2430,200,Packs,,,R$13.00 ,R$2.00 ,R$28.00 ,R$25.00 ,R$13.00 ,R$38.00 ,R$30.00 ,R$28.00 ,R$29.00 ,R$32.00 ,R$29.00 
2431,250,Litros,,,R$30.00 ,R$14.00 ,R$31.00 ,R$40.00 ,R$17.00 ,R$21.00 ,R$8.00 ,R$26.00 ,R$33.00 ,R$29.00 ,R$20.00 
2432,150,Packs,,,R$27.00 ,R$35.00 ,R$4.00 ,R$13.00 ,R$40.00 ,R$37.00 ,R$19.00 ,R$16.00 ,R$1.00 ,R$18.00 ,R$36.00 
2433,20,Pneus,,,R$8.00 ,R$14.00 ,R$11.00 ,R$2.00 ,R$9.00 ,R$26.00 ,R$31.00 ,R$24.00 ,R$24.00 ,R$26.00 ,R$22.00 
2434,20,Pneus,,,R$21.00 ,R$20.00 ,R$32.00 ,R$24.00 ,R$7.00 ,R$40.00 ,R$35.00 ,R$39.00 ,R$4.00 ,R$10.00 ,R$8.00 
2435,100,Caixas,,,R$13.00 ,R$13.00 ,R$26.00 ,R$13.00 ,R$11.00 ,R$15.00 ,R$30.00 ,R$4.00 ,R$37.00 ,R$8.00 ,R$14.00 
2436,200,Packs,,,R$25.00 ,R$38.00 ,R$36.00 ,R$32.00 ,R$18.00 ,R$39.00 ,R$38.00 ,R$25.00 ,R$9.00 ,R$12.00 ,R$38.00 
2437,250,Litros,,,R$35.00 ,R$4.00 ,R$36.00 ,R$37.00 ,R$2.00 ,R$26.00 ,R$15.00 ,R$7.00 ,R$15.00 ,R$11.00 ,R$33.00 
2438,150,Packs,,,R$26.00 ,R$18.00 ,R$37.00 ,R$36.00 ,R$36.00 ,R$15.00 ,R$25.00 ,R$25.00 ,R$11.00 ,R$5.00 ,R$13.00 
2439,20,Pneus,,,R$9.00 ,R$11.00 ,R$9.00 ,R$3.00 ,R$22.00 ,R$19.00 ,R$25.00 ,R$35.00 ,R$2.00 ,R$8.00 ,R$18.00 
2440,20,Pneus,,,R$10.00 ,R$36.00 ,R$2.00 ,R$11.00 ,R$2.00 ,R$3.00 ,R$37.00 ,R$13.00 ,R$38.00 ,R$39.00 ,R$39.00 
2441,100,Caixas,,,R$3.00 ,R$36.00 ,R$3.00 ,R$36.00 ,R$5.00 ,R$14.00 ,R$25.00 ,R$19.00 ,R$26.00 ,R$28.00 ,R$7.00 
2442,200,Packs,,,R$26.00 ,R$24.00 ,R$24.00 ,R$7.00 ,R$30.00 ,R$27.00 ,R$13.00 ,R$20.00 ,R$9.00 ,R$16.00 ,R$4.00 
2443,250,Litros,,,R$21.00 ,R$20.00 ,R$3.00 ,R$28.00 ,R$27.00 ,R$31.00 ,R$2.00 ,R$9.00 ,R$40.00 ,R$11.00 ,R$27.00 
2444,150,Packs,,,R$29.00 ,R$16.00 ,R$32.00 ,R$35.00 ,R$6.00 ,R$28.00 ,R$15.00 ,R$22.00 ,R$33.00 ,R$3.00 ,R$28.00 
2445,20,Pneus,,,R$13.00 ,R$34.00 ,R$12.00 ,R$35.00 ,R$2.00 ,R$27.00 ,R$4.00 ,R$30.00 ,R$33.00 ,R$8.00 ,R$31.00 
2446,20,Pneus,,,R$28.00 ,R$21.00 ,R$14.00 ,R$35.00 ,R$26.00 ,R$40.00 ,R$6.00 ,R$15.00 ,R$8.00 ,R$30.00 ,R$26.00 
2447,100,Caixas,,,R$2.00 ,R$15.00 ,R$12.00 ,R$22.00 ,R$12.00 ,R$16.00 ,R$21.00 ,R$5.00 ,R$20.00 ,R$26.00 ,R$29.00 
2448,200,Packs,,,R$4.00 ,R$24.00 ,R$10.00 ,R$38.00 ,R$30.00 ,R$32.00 ,R$8.00 ,R$28.00 ,R$24.00 ,R$40.00 ,R$11.00 
2449,250,Litros,,,R$31.00 ,R$12.00 ,R$38.00 ,R$30.00 ,R$12.00 ,R$2.00 ,R$17.00 ,R$16.00 ,R$19.00 ,R$10.00 ,R$4.00 
